Geneid	D-1
IL17RB	34
CHMP2A	2315
TNFRSF21	233
CEP41	356
MAGI2-AS3	0
BOLL	1
FAM107B	1782
MYO1B	0
EGFLAM	1
TMEM209	557
CLDN24	1
ATP2B1	543
OCLN	3
CD34	63
CASP9	140
YTHDF3	684
TM7SF3	1995
TRIM62	134
PROZ	2
CNOT4	192
SLC9A6	518
MYT1L	1
MIR3605	0
LINC01088	10
LINC02525	0
GIPC3	1
BHLHE41	29
WNT4	1
NRBF2	389
OSBP2	5
R3HDM4	1068
TMEFF2	0
CCDC126	126
MAIP1	313
CD276	56
CYB5B	1639
NOTCH1	300
LUZP2	0
CSMD2-AS1	0
AMY2A	1
ATP1B2	0
ATP1B1	254
ADAMTS13	21
KLF18	0
SMIM12	1135
ABHD18	389
MS4A1	0
SRR	133
CRYZ	304
LOC653160	21
ZMYM1	223
MED16	1281
TMEM41B	454
SASH1	1
FBXL19	918
MBNL1	5785
AURKB	2015
ZMYM4-AS1	1
PFN4	3
C1orf216	570
SNX4	740
PTGDR	0
RIPK1	130
BBS9	45
SHD	0
SLC39A1	1239
EMSY	358
FAM193A	430
WDR20	229
R3HDM2	476
HOXB6	0
BNIP2	1930
RPL4	44150
CLCN5	229
TCEA2	135
IL17REL	0
LRCH3	580
MAGEB3	0
ZFAND2A	226
RBM45	164
SH3D21	19
CHRM3	0
ZNF506	108
CCR3	7
SMARCD1	1077
CYP17A1	1
OXNAD1	474
KRT8	4
SNORA63C	0
CTNNA2	78
RHBDL2	5
TP53AIP1	3
AQR	581
HILPDA	621
PARVB	1103
CCDC113	62
MIR4255	0
LINC01137	42
TPM1	436
MIR6732	1
GIT2	600
CYP3A43	1
GORASP1	632
MIR5581	1
PITPNM3	31
GNL2	2329
C12orf57	1845
GNG13	5
SIRT6	949
TLR7	3
SCAND1	1246
ACKR4	0
CYHR1	661
HNF1A	0
EML4	741
TAS2R30	0
CCDC121	40
SP100	161
IQCD	8
CTCFL	1
SPINK2	0
COPZ1	1316
ANLN	871
EXD3	277
ANKS4B	0
ATP7A	87
DLG1	666
EPHA10	0
MANEAL	416
CCZ1B	873
MYO1H	5
EIF4E	550
INPP5B	871
ACSF2	585
POLE2	338
C1QTNF6	78
MEIS2	192
NRSN2	29
RAP1A	2479
ELOA3C	0
TST	1283
PSMB6	2290
PPP2R5D	589
TAGLN2	8503
TEKT4	0
RGS7	0
L3MBTL4	1
PFDN5	2273
PGRMC1	4447
RUVBL2	5217
CCL27	0
PPP1R13L	109
MIR3659	0
LINC01343	1
LINC01685	0
ACCS	0
DTNA	7
GLI2	0
GJA9-MYCBP	0
LOC105378663	0
TSSK2	0
CSMD2	0
PSMG2	1709
AGAP2	424
PEAK3	23
TEX9	9
VPS37A	256
PPARG	169
SAA2	0
TCP1	12942
DGUOK	1536
OXCT2P1	0
PPIEL	24
DDX31	300
PABPC4-AS1	1
SNORA55	1
CPLANE2	58
CHTOP	1848
CTSL	0
PPIE	1121
TRABD2B	0
LDLRAD1	0
PDXDC1	1144
LOC101929536	69
ZNF630	0
TRIT1	587
PCM1	1447
SATB2	207
SCAMP1	781
SNX13	289
BZW2	3469
DGCR2	1841
RHOA	10061
TBXAS1	914
MED30	554
FARP2	73
PHKG2	606
TFEB	445
MIER1	407
KLHDC4	1205
DCBLD1	374
IGLL5	0
KDM5D	1
LOC102725023	0
ARSD	89
ANKMY1	143
SERPINC1	5
TNIP1	1186
SMAP2	1416
THEMIS2	637
SLC1A5	9320
FRAT1	388
NFYC-AS1	32
CAPG	3467
CSE1L	2081
TAF6	588
GNAI1	96
TLE3	878
FAM236C	0
ASCC1	373
NBPF15	28
RPS17	343
ECD	371
YY1AP1	434
SLFNL1-AS1	42
HTATIP2	869
PRTFDC1	0
CT47A5	0
CT47A6	0
VTA1	1478
SCMH1	836
ZBTB48	364
RANBP1	8528
FLT3LG	128
SEMA6D	0
TPTE	0
SLC12A6	513
FAM72B	457
FOXJ3	720
BTN3A2	858
SLC8B1	795
RNPEPL1	883
ZMYND12	14
PDE1A	1
XPC	668
JADE3	352
ARHGAP27	23
DYRK4	449
COX4I1	20491
SEZ6L	0
NANOS1	60
ZNF365	2
CLLU1	0
MDFIC	416
SP8	0
PDE4DIP	104
TMEM154	413
DENND6A	800
TKFC	773
ZNF691	112
LOC339539	0
STRA6	0
SLC2A1-AS1	9
MEMO1	564
MIR6733	0
CHAT	1
DDX39B	0
RRM2	6228
PLCXD1	0
PICALM	1163
TRAPPC4	1147
IGF1	2
LYN	1723
EZR	3983
TOP1MT	1085
RPTOR	471
MIR6734	0
MCHR2	0
VPS52	0
CFAP298	532
TAMM41	204
MAP2K3	711
SZT2-AS1	0
MIR6735	0
GPRC5C	204
CTNNA1	493
GLYR1	1413
C18orf54	347
SCN9A	0
ORC4	312
CHIA	0
DPP10	0
GPR68	7
DAG1	433
ST3GAL6	237
CLEC4A	8
MRTO4	3588
ZBED2	4
MMP11	1
FOXO4	340
ZKSCAN3	136
KDM4A-AS1	34
MSH4	0
MSI1	0
MSMB	0
SECISBP2	855
ZNF415	0
HIP1	463
KIAA1324L	58
BTD	169
TTLL7	0
C2orf49	210
SLC25A23	1344
CCDC136	278
YIPF1	293
MRPL48	1280
IQCB1	863
MYB	4072
LOC101929592	5
MIR6079	0
KTN1	2131
PTPN20	0
FSTL5	77
KLC2	223
UBD	0
ARL6IP5	2034
ZBTB20	39
CCDC24	56
FYTTD1	2071
C15orf62	41
CENPN	1442
ADGRE2	310
DSE	228
THAP1	118
ENOX1	0
NOXA1	50
DHX8	778
COL11A2	0
ERI3	1074
UGT2B4	0
ERI3-IT1	3
SNORA110	0
TP63	7
MIR5584	1
TMEM53	129
ALAS1	1835
ZNF197	2
SNORD145	0
SPDYE2B	0
RNU5F-1	11
RNU5D-1	17
SLX1A	0
CST8	0
SAE1	6841
SPDYE18	0
POLR3H	1068
RPGR	330
ADPRHL1	41
SNORD160	6
SNORD55	30
SNORD46	7
SNORD38A	26
SNORD38B	14
NSUN3	185
GAB2	334
ACTRT2	0
CDKN2D	258
DEFB104A	0
S100A16	0
MSL3	530
TCAF1	248
TAOK3	1972
H2AX	5755
CFAP298-TCP10L	1
TP53TG3B	0
TP53TG3C	0
SPDEF	8
LINC01144	20
OR2Z1	0
SUGT1	1344
RAP1GAP	7
STRIP2	174
PTDSS1	3246
REXO1	981
HDHD5	1
SUPT3H	200
IFT52	313
SRMS	2
GDAP1L1	5
HELZ	631
CCDC185	0
MFSD6L	0
FSIP1	12
IL21R	46
PHTF2	604
LSP1	602
NR2F1-AS1	7
FBXO48	43
TTC29	0
RACGAP1	1330
GRIPAP1	1080
SOAT2	1
FN1	28
SAMD9	123
UBAP2L	1257
PBRM1	1198
FASTK	1334
PAX8	42
SLC44A4	0
CALCB	0
CACNG1	1
RPS15AP10	20
PPP1R16A	531
SLIRP	1326
CELF2	2353
LIMS1	888
GGT5	15
TOR1AIP2	517
RNH1	1992
SLAMF1	8
STIL	721
CNPY3	2630
SYNCRIP	8971
COA8	462
LOC101929626	11
ASB11	0
CFHR4	0
CCDC142	121
ISL1	1
GUCD1	1729
PRKCZ	62
DMTN	4
CEMIP2	121
ZMYND11	623
NSA2	2466
STK32C	633
C1orf229	1
NCBP1	931
CASP5	1
LINC01398	1
CYB5R2	8
RIC3	1
MKNK1-AS1	1
KNCN	0
PRPSAP2	556
EXOSC8	1174
ZDHHC22	0
ZNF543	62
C2orf66	3
TMEM222	865
MOB3C	50
NMNAT2	0
C2	0
ASGR2	20
SAFB	3947
WDR4	1120
CSRP1	1755
EFCAB14-AS1	0
PHF21A	367
SH3YL1	242
CYP4Z2P	0
NOP2	1017
RHNO1	625
ODAPH	2
IDNK	52
MRPL9	1476
SPATA9	2
CDK2AP1	767
TSLP	5
LMO1	21
TWNK	681
INTS11	2361
ANKS1B	0
MRS2	1331
GC	0
ICA1	271
NEDD4L	400
LINC00853	13
ZNF761	12
ALDH8A1	20
ZNF530	230
CLHC1	92
PPCS	545
RNF169	101
SEZ6	2
NSMF	983
PPIAL4A	0
MIXL1	0
DPYSL2	1947
CMPK1	2258
PPT2	0
LINC01389	68
BRCC3	608
PHF13	620
SKINT1L	2
VIPR1	44
SH2D3C	98
NDUFS1	1755
SPATA6	55
SCGB1A1	0
SUMO1	1651
UBE2N	3039
CLEC4M	1
OPA1	2307
CAMK2G	1272
LTB	0
LSS	3906
MARCKSL1	3029
AGBL4-IT1	0
ZNF311	0
CD151	1161
SYT8	0
IFNG	0
NOS1	2
HDAC3	1694
NCOR2	2034
ZNF618	390
MIR4421	0
MIR6500	0
LINC01562	0
BMPR2	251
BMPR1B	14
EPB41	1146
SERPINB4	0
SMARCB1	3355
SATB1	2425
GABPB2	367
IL15RA	173
SMIM32	0
SFXN2	677
TTC39A-AS1	0
CDC14B	1
SEPTIN12	0
RBM19	515
TACC1	614
CHMP1B	1175
GOPC	1154
MRPL47	1248
GRK7	1
RGSL1	0
SS18L2	762
RSL24D1	5220
DUSP6	1409
BIN2	942
CAB39	1101
HP1BP3	2095
PDC	0
VPS16	1039
SPRTN	135
NTPCR	756
TTC13	199
CCDC169	55
COG6	210
MBD3L5	0
SLC16A3	3614
MXRA7	22
MAP3K3	633
TXNDC12-AS1	1
BTF3L4	910
YJU2	702
ROBO1	62
SLC25A35	184
TSPAN7	311
TK2	150
TRIB3	1544
ATRX	1746
SNRPD2	8435
PRCP	794
P2RY2	171
ZNF493	31
PALM2AKAP2	1208
TULP3	298
PDGFRL	1
MIR513C	0
STX7	661
NPNT	0
ECHDC2	0
TOGARAM1	43
BCL2L13	1045
DEPDC1B	1031
CIB2	24
GPR155	53
WNT5A	0
XRCC4	296
PAPOLA	2651
TSR2	1705
INHBE	5
YPEL3	78
CCDC120	2
ENO1	64015
EIF2D	694
ZBTB7C	0
NUDT2	217
TUBB2B	12
BVES	0
NFX1	446
MIR299	0
LOC100507564	2
TRPM3	5
METTL21A	528
WDR91	340
LINC01771	7
SLC25A3P1	0
HDHD2	654
WWP2	640
SLC49A3	5
KHDRBS1	5918
KIAA1328	54
TMEM54	108
NOL8	641
MTRF1	95
ZNF131	661
LINC02861	3
KLRF1	130
LAMB3	5
CD163	5
MIR519A1	0
MIR518C	0
HSPB11	515
TMEM134	337
PITPNM1	1968
EFL1	671
DNAJC28	9
WDR48	445
OSBPL3	631
ROMO1	1563
SYCP2	6
SH3BP1	1062
TMEM183A	631
RPAP3	584
SLCO1B3-SLCO1B7	0
MIR1908	3
MIR513B	0
MIR4781	0
MEOX1	6
CT47A9	0
PEX5L	10
TMEM165	1160
CYB5RL	397
HADHB	1999
SEPTIN2	4407
XAF1	105
TBX5	0
HSP90AB1	49070
SSBP3-AS1	30
ARGLU1	2713
TRMT61B	337
MRTFB	93
ZBTB10	1
MROH7	3
