chr	start	end	names	pval	qval	genes
chr1	223538380	223538380	cg00172597	1.29443692537946e-05	0.054171566000017	
chr1	240118351	240118351	cg01567173	1.47459817801269e-05	0.054171566000017	
chr1	2801150	2801150	cg03543952	8.5318453072216e-06	0.054171566000017	
chr1	24229582	24229582	cg03611151	1.49693549596604e-05	0.054171566000017	CNR2
chr1	9099298	9099298	cg04885068	2.05870678929643e-05	0.054171566000017	SLC2A5
chr1	76080727	76080727	cg07923233	5.78891002066731e-06	0.054171566000017	
chr1	156616780	156616780	cg10389771	9.63606353580076e-06	0.054171566000017	BCAN,RP11-284F21.7
chr1	210531906	210531906	cg10556222	7.65365376153832e-06	0.054171566000017	HHAT
chr1	4714974	4714974	cg11835068	2.1588187508658e-05	0.054171566000017	AJAP1
chr1	20062330	20062330	cg14220777	1.64590052395134e-05	0.054171566000017	TMCO4
chr1	18023561	18023561	cg15076663	2.10368284442807e-05	0.054171566000017	ARHGEF10L
chr1	47882322	47882322	cg15457058	2.67332580124499e-06	0.054171566000017	FOXE3
chr1	156616805	156616805	cg16269733	2.51002239212959e-06	0.054171566000017	BCAN,RP11-284F21.7
chr1	47882314	47882314	cg18815943	3.95319121865453e-06	0.054171566000017	FOXE3
chr1	24229233	24229233	cg19276111	4.16366085111384e-06	0.054171566000017	CNR2
chr1	47882265	47882265	cg19809499	5.37681243925645e-06	0.054171566000017	FOXE3
chr1	13881542	13881542	cg19861147	1.11148869827448e-05	0.054171566000017	RP4-597A16.3
chr1	115881133	115881133	cg22354782	1.9151795499809e-05	0.054171566000017	RP4-663N10.1
chr1	75601121	75601121	cg23952663	1.96635230823924e-05	0.054171566000017	LHX8
chr1	16342156	16342156	cg24140574	5.29343363801526e-06	0.054171566000017	HSPB7
chr1	984429	984429	cg24730157	8.86029574222763e-06	0.054171566000017	AGRN
chr1	156616855	156616855	cg25773262	4.29974608101255e-06	0.054171566000017	BCAN,RP11-284F21.7
chr1	17475832	17475832	cg26516532	1.4985207376085e-05	0.054171566000017	
chr1	977004	977004	cg06819605	2.63630507439413e-05	0.0543206248802127	AGRN
chr1	201857948	201857948	cg08739233	2.61100067509949e-05	0.0543206248802127	SHISA4
chr1	27687232	27687232	cg20996351	2.72792505768345e-05	0.0543206248802127	MAP3K6
chr1	210032147	210032147	cg23817672	2.35444364419014e-05	0.0543206248802127	
chr1	226850741	226850741	cg04102510	3.0547257985566e-05	0.0543707177967035	ITPKB,ITPKB-IT1
chr1	22213908	22213908	cg07172756	3.38519644602422e-05	0.0543707177967035	HSPG2
chr1	21724633	21724633	cg07981328	3.1045219219723e-05	0.0543707177967035	PPP1R11P1
chr1	3051530	3051530	cg12641165	2.96115221773107e-05	0.0543707177967035	PRDM16
chr1	6266030	6266030	cg16094412	3.04862597507854e-05	0.0543707177967035	RNF207,RPL22
chr1	221051758	221051758	cg18645081	3.01669517427977e-05	0.0543707177967035	HLA-AS1,HLX
chr1	17953508	17953508	cg21524424	2.97878330250828e-05	0.0543707177967035	ARHGEF10L
chr1	20123989	20123989	cg27230749	2.9978646305284e-05	0.0543707177967035	TMCO4
chr1	22211075	22211075	cg27304144	2.85417104112734e-05	0.0543707177967035	HSPG2
chr1	70225706	70225706	cg07783134	3.84288969041116e-05	0.0551012872280427	LRRC7
chr1	60280489	60280489	cg08231348	3.91398350795182e-05	0.0553371048844476	HOOK1
chr1	47882937	47882937	cg23115387	3.93422108129018e-05	0.0554223609032328	FOXE3
chr1	2705733	2705733	cg12085977	3.9921960738322e-05	0.055490462612005	TTC34
chr1	1525453	1525453	cg00151676	4.04930294601857e-05	0.0556883318141202	
chr1	154475068	154475068	cg05637536	4.23068793768329e-05	0.0556883318141202	TDRD10
chr1	223739441	223739441	cg06877247	4.4183809020156e-05	0.0556883318141202	CAPN8
chr1	9749297	9749297	cg07427436	4.15176804457126e-05	0.0556883318141202	PIK3CD
chr1	22141015	22141015	cg15467646	4.02625352136927e-05	0.0556883318141202	LDLRAD2
chr1	155161212	155161212	cg15699386	4.2955170957035e-05	0.0556883318141202	MUC1
chr1	8398600	8398600	cg20706316	4.40107812077146e-05	0.0556883318141202	SLC45A1
chr1	103573700	103573700	cg26436330	4.55107213235592e-05	0.0564072304376067	COL11A1
chr1	150693383	150693383	cg06893172	4.64947626139205e-05	0.0566921772828391	
chr1	978665	978665	cg10983617	4.72016926839341e-05	0.0567859866937736	AGRN
chr1	201687738	201687738	cg01819910	5.00092338916198e-05	0.0574970328465066	IPO9-AS1,NAV1
chr1	240656514	240656514	cg02577267	5.984781691687e-05	0.0591830360077653	GREM2
chr1	4714673	4714673	cg12475759	6.22378613244626e-05	0.0595530723273388	
chr1	245836513	245836513	cg22686124	6.23842882951801e-05	0.0595530723273388	KIF26B
chr1	190447290	190447290	cg23010538	6.33515856229606e-05	0.0595530723273388	
chr1	228614015	228614015	cg16251579	6.47855643360125e-05	0.0596640624838269	
chr1	1475675	1475675	cg16306898	6.50936419277338e-05	0.0596640624838269	TMEM240
chr1	75595970	75595970	cg22694818	6.4789295639644e-05	0.0596640624838269	LHX8,RP11-510C10.2,RP11-510C10.3
chr1	224805287	224805287	cg01777643	6.59887103918053e-05	0.0599839531608748	CNIH3
chr1	60280812	60280812	cg15900248	6.6862907206385e-05	0.0601743006178223	HOOK1
chr1	223936813	223936813	cg19598416	6.6871489652069e-05	0.0601743006178223	CAPN2
chr1	3567304	3567304	cg04021697	6.84881836740114e-05	0.0606715248658468	WRAP73
chr1	27687454	27687454	cg06035600	7.59901139751358e-05	0.0622354563449658	MAP3K6
chr1	2980380	2980380	cg01514538	7.71972961928836e-05	0.0624289211758408	LINC00982
chr1	156612140	156612140	cg21475402	7.82105763964471e-05	0.0625216096139766	BCAN,RP11-284F21.10
chr1	16554402	16554402	cg17463745	7.8972939875798e-05	0.0627515857459962	ANO7P1
chr1	42846987	42846987	cg14899716	8.16562838690864e-05	0.0633987329348407	RIMKLA
chr1	19203999	19203999	cg10108612	8.20234790986743e-05	0.0635624135701076	ALDH4A1,RP13-279N23.2
chr1	40598455	40598455	cg07405182	8.40627180330879e-05	0.0638115440462443	RP11-115D7.3
chr1	19250280	19250280	cg09012001	8.55121013891968e-05	0.0640992769774896	IFFO2
chr1	79472452	79472452	cg26422458	8.60595445218597e-05	0.0641892017369679	
chr1	223936800	223936800	cg06756211	8.64695500807111e-05	0.0643227194382226	CAPN2
chr1	65991597	65991597	cg16987305	8.75154235732808e-05	0.0643983805620442	LEPR
chr1	150669681	150669681	cg12401651	8.88841490237328e-05	0.0646790131590173	
chr1	22174499	22174499	cg02459271	9.11952319206747e-05	0.0652244226631007	HSPG2
chr1	1374310	1374310	cg13897675	9.09842335429169e-05	0.0652244226631007	VWA1
chr1	7122640	7122640	cg14083421	9.07657650969308e-05	0.0652244226631007	CAMTA1
chr1	223936509	223936509	cg19318393	9.25389070838783e-05	0.0656793517130737	CAPN2
chr1	65775059	65775059	cg06346974	9.56842821179377e-05	0.0663346030698292	DNAJC6
chr1	986561	986561	cg08480609	9.86872377456369e-05	0.0674637909529654	AGRN
chr1	2980164	2980164	cg04484550	9.99919139271247e-05	0.0679110935812665	LINC00982
chr1	970295	970295	cg18147233	0.0001034770225591	0.068608991683305	AGRN
chr1	964497	964497	cg25774148	0.0001044440177335	0.0689177068484337	AGRN
chr1	229543554	229543554	cg13850606	0.0001100405450393	0.069656047044504	
chr1	50513749	50513749	cg02623400	0.0001110836598077	0.0698428433271369	ELAVL4
